所在区域,年龄段,办事渠道,办理时长_分钟,服务态度评分,政策清晰度,等待时长满意度,总体满意度,是否满意,是否再次使用,意见建议
西南,31-45岁,电话热线,7.7,4,2,3,4,满意,是,
华东,31-45岁,电话热线,5.1,4,2,5,4,满意,是,政策信息更新不及时
华东,60岁以上,社区服务点,4.2,4,5,3,4,不满意,是,等待时间有点长，希望能改进
华东,60岁以上,自助终端,45.3,5,5,3,5,满意,是,
华东,31-45岁,社区服务点,,4,2,5,4,满意,是,
华中,31-45岁,自助终端,16.1,3,3,3,3,不满意,是,大厅环境不错，服务人员专业
华北,31-45岁,政务大厅,40.7,4,3,2,3,不满意,是,
华北,31-45岁,线上平台,4.3,4,3,5,4,满意,是,
华东,60岁以上,社区服务点,34.4,5,5,2,3,不满意,是,工作人员态度友善
华北,18-30岁,社区服务点,15.0,1,3,5,3,不满意,否,
华北,18-30岁,自助终端,5.7,3,3,3,3,不满意,否,
华东,31-45岁,社区服务点,10.9,4,3,5,4,满意,是,政策信息更新不及时
华北,18-30岁,自助终端,25.5,4,4,4,5,满意,是,
西南,31-45岁,线上平台,12.8,5,3,4,4,满意,是,建议增加线上预约功能
华南,46-60岁,线上平台,66.3,2,5,5,4,满意,否,
华南,46-60岁,线上平台,10.1,5,3,3,4,满意,否,自助终端操作复杂，老年人不太会用
华东,31-45岁,政务大厅,23.8,2,5,5,4,满意,是,
华中,31-45岁,线上平台,10.5,5,4,2,4,不满意,是,
华东,31-45岁,自助终端,29.5,2,2,4,3,不满意,是,建议多开几个窗口，减少排队时间
华中,46-60岁,线上平台,15.6,1,4,3,2,不满意,是,建议多开几个窗口，减少排队时间
华南,31-45岁,自助终端,4.0,4,5,4,4,满意,是,服务态度很好，办理流程顺畅
华东,31-45岁,政务大厅,3.6,5,5,2,4,满意,是,政策信息更新不及时
西北,60岁以上,自助终端,5.2,5,4,5,5,满意,是,
西南,31-45岁,线上平台,3.2,4,4,5,4,满意,是,服务态度很好，办理流程顺畅
华北,60岁以上,线上平台,4.2,5,5,5,5,满意,是,
华中,31-45岁,政务大厅,20.7,1,4,2,2,不满意,是,
西北,31-45岁,自助终端,14.5,5,1,4,3,不满意,是,政策解释不够清楚，需要反复询问
华北,46-60岁,线上平台,23.8,4,5,4,5,满意,是,自助终端操作复杂，老年人不太会用
华北,46-60岁,电话热线,39.7,5,3,3,4,满意,否,
华东,60岁以上,线上平台,16.2,,4,3,4,满意,否,
华北,18-30岁,政务大厅,,5,3,3,3,不满意,是,
西南,31-45岁,电话热线,24.2,4,1,4,3,不满意,是,
西北,31-45岁,政务大厅,10.1,4,3,4,4,满意,否,总体满意，线上平台很方便
华北,46-60岁,政务大厅,7.1,5,5,4,4,不满意,否,
华东,18-30岁,政务大厅,6.4,3,3,2,3,不满意,是,政策透明度需要提高
西南,60岁以上,政务大厅,7.3,5,3,2,4,满意,是,
华南,31-45岁,自助终端,7.8,5,3,1,3,不满意,是,服务流程简化后体验明显提升
西北,31-45岁,线上平台,6.5,3,4,5,5,满意,是,
华北,60岁以上,线上平台,34.6,5,5,1,4,满意,是,
华东,46-60岁,政务大厅,24.2,4,4,2,4,满意,是,政策解释不够清楚，需要反复询问
华南,60岁以上,社区服务点,,4,4,3,3,不满意,是,
华南,31-45岁,政务大厅,7.7,5,5,5,5,满意,是,
华中,31-45岁,线上平台,3.3,2,4,5,3,不满意,是,
西南,31-45岁,自助终端,13.3,4,3,5,5,满意,是,建议多开几个窗口，减少排队时间
华北,60岁以上,自助终端,12.7,5,3,4,4,满意,是,
华东,18-30岁,线上平台,29.7,3,,4,4,满意,是,
华中,31-45岁,政务大厅,8.5,4,4,2,4,满意,是,工作人员态度友善
西南,18-30岁,政务大厅,28.4,,4,5,4,满意,是,
华中,31-45岁,政务大厅,54.6,4,5,4,5,满意,是,
西北,31-45岁,政务大厅,4.4,4,3,4,4,满意,是,线上平台偶尔卡顿
